case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku sensitif,masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku sensitif,masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi tipe kulitku sensitif,"['masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif']","['kulitku', 'jerawat', 'kulitku', 'pori', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif']","['kulit', 'jerawat', 'kulit', 'pori', 'tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'sensitif']",kulit jerawat kulit pori tipe kulit kombinasi tipe kulit sensitif
mantul,mantul,mantul,['mantul'],['mantul'],['mantul'],mantul
pesanan sesuai,pesanan sesuai,pesanan sesuai,"['pesanan', 'sesuai']",['pesanan'],['pesan'],pesan
no review found,no review found,no review found,"['no', 'review', 'found']","['review', 'found']","['review', 'found']",review found
"mkasih pesanan sudah sesuai pesanan saya,
pengiriman cepat matappppp....",mkasih pesanan sudah sesuai pesanan saya pengiriman cepat matappppp,terima kasih pesanan sudah sesuai pesanan saya pengiriman cepat mantap,"['terima', 'kasih', 'pesanan', 'sudah', 'sesuai', 'pesanan', 'saya', 'pengiriman', 'cepat', 'mantap']","['terima', 'kasih', 'pesanan', 'pesanan', 'pengiriman', 'cepat', 'mantap']","['terima', 'kasih', 'pesan', 'pesan', 'kirim', 'cepat', 'mantap']",terima kasih pesan pesan kirim cepat mantap
masalah kulitku jerawat masalah kulitku pori besar,masalah kulitku jerawat masalah kulitku pori besar,masalah kulitku jerawat masalah kulitku pori besar,"['masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['kulitku', 'jerawat', 'kulitku', 'pori']","['kulit', 'jerawat', 'kulit', 'pori']",kulit jerawat kulit pori
"sesuai pesanan, pengiriman cepat dan pengemasan bagus sekalii. mantappp",sesuai pesanan pengiriman cepat dan pengemasan bagus sekalii mantappp,sesuai pesanan pengiriman cepat dan pengemasan bagus sekali mantap,"['sesuai', 'pesanan', 'pengiriman', 'cepat', 'dan', 'pengemasan', 'bagus', 'sekali', 'mantap']","['pesanan', 'pengiriman', 'cepat', 'pengemasan', 'bagus', 'mantap']","['pesan', 'kirim', 'cepat', 'emas', 'bagus', 'mantap']",pesan kirim cepat emas bagus mantap
tefima kasih pesena. nya uxah sampai..sudah cocok pakai skincare dari merk azarine kualitas baguss harga juga terjangkou...,tefima kasih pesena nya uxah sampai sudah cocok pakai skincare dari merk azarine kualitas baguss harga juga terjangkou,terima kasih pesena nya udah sampai sudah cocok pakai skincare dari merk azarine kualitas bagus harga juga terjangkau,"['terima', 'kasih', 'pesena', 'nya', 'udah', 'sampai', 'sudah', 'cocok', 'pakai', 'skincare', 'dari', 'merk', 'azarine', 'kualitas', 'bagus', 'harga', 'juga', 'terjangkau']","['terima', 'kasih', 'pesena', 'cocok', 'pakai', 'skincare', 'merk', 'azarine', 'kualitas', 'bagus', 'harga', 'terjangkau']","['terima', 'kasih', 'sena', 'cocok', 'pakai', 'skincare', 'merk', 'azarine', 'kualitas', 'bagus', 'harga', 'jangkau']",terima kasih sena cocok pakai skincare merk azarine kualitas bagus harga jangkau
terima kasih pesenan nya udah sampai udah cocok pakai skincare dari merk azarine ringan d pakai nya bikin kulit tambah cerah dan lembut,terima kasih pesenan nya udah sampai udah cocok pakai skincare dari merk azarine ringan pakai nya bikin kulit tambah cerah dan lembut,terima kasih pesanan nya sudah sampai sudah cocok pakai skincare dari merk azarine ringan pakai nya bikin kulit tambah cerah dan lembut,"['terima', 'kasih', 'pesanan', 'nya', 'sudah', 'sampai', 'sudah', 'cocok', 'pakai', 'skincare', 'dari', 'merk', 'azarine', 'ringan', 'pakai', 'nya', 'bikin', 'kulit', 'tambah', 'cerah', 'dan', 'lembut']","['terima', 'kasih', 'pesanan', 'cocok', 'pakai', 'skincare', 'merk', 'azarine', 'ringan', 'pakai', 'kulit', 'cerah', 'lembut']","['terima', 'kasih', 'pesan', 'cocok', 'pakai', 'skincare', 'merk', 'azarine', 'ringan', 'pakai', 'kulit', 'cerah', 'lembut']",terima kasih pesan cocok pakai skincare merk azarine ringan pakai kulit cerah lembut
exp masih lama,exp masih lama,exp masih lama,"['exp', 'masih', 'lama']",['exp'],['exp'],exp
