case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
"1. barang lama di proses
2. beli 2 pcs bayar 2 pcs yang datang hanya 1pcs
3. itu pun juga ada keterlambatan pengiriman

terimakasih pengalaman berbelanjanya",barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terimakasih pengalaman berbelanjanya,barang lama di proses beli pcs bayar pcs yang datang hanya pcs itu pun juga ada keterlambatan pengiriman terima kasih pengalaman berbelanjanya,"['barang', 'lama', 'di', 'proses', 'beli', 'pcs', 'bayar', 'pcs', 'yang', 'datang', 'hanya', 'pcs', 'itu', 'pun', 'juga', 'ada', 'keterlambatan', 'pengiriman', 'terima', 'kasih', 'pengalaman', 'berbelanjanya']","['beli', 'pcs', 'bayar', 'pcs', 'pcs', 'keterlambatan', 'pengiriman', 'terima', 'kasih', 'pengalaman', 'berbelanjanya']","['beli', 'pcs', 'bayar', 'pcs', 'pcs', 'lambat', 'kirim', 'terima', 'kasih', 'alam', 'belanja']",beli pcs bayar pcs pcs lambat kirim terima kasih alam belanja
mudah-mudahan cocok karena reviewnya bagus,mudah mudahan cocok karena reviewnya bagus,mudah mudahan cocok karena reviewnya bagus,"['mudah', 'mudahan', 'cocok', 'karena', 'reviewnya', 'bagus']","['mudah', 'mudahan', 'cocok', 'reviewnya', 'bagus']","['mudah', 'mudah', 'cocok', 'reviewnya', 'bagus']",mudah mudah cocok reviewnya bagus
"okeee lah, kadang suka lama di prosesnya",okeee lah kadang suka lama di prosesnya,oke lah kadang suka lama di prosesnya,"['oke', 'lah', 'kadang', 'suka', 'lama', 'di', 'prosesnya']","['oke', 'kadang', 'suka', 'prosesnya']","['oke', 'kadang', 'suka', 'proses']",oke kadang suka proses
alhamdulillah sampai dengan aman,alhamdulillah sampai dengan aman,alhamdulillah sampai dengan aman,"['alhamdulillah', 'sampai', 'dengan', 'aman']",['aman'],['aman'],aman
isi gk penuh kecewa,isi gk penuh kecewa,isi enggak penuh kecewa,"['isi', 'enggak', 'penuh', 'kecewa']","['isi', 'penuh', 'kecewa']","['isi', 'penuh', 'kecewa']",isi penuh kecewa
"serum fav aku, aku beli pas lagi clearence sale. dapet harga yang affdorable bgt, kayaknya lebih cantik lagi di bersihin dulu kali yah debu nya meskipun barang yg di beli itu barang clearance. tp keseluruhan selalu puas belanja disini",serum fav aku aku beli pas lagi clearence sale dapet harga yang affdorable bgt kayaknya lebih cantik lagi di bersihin dulu kali yah debu nya meskipun barang yg di beli itu barang clearance tp keseluruhan selalu puas belanja disini,serum favorit aku aku beli pas lagi clearence sale dapat harga yang affdorable banget kayaknya lebih cantik lagi di bersihin dulu kali ya debu nya meskipun barang yang di beli itu barang clearance tapi keseluruhan selalu puas belanja disini,"['serum', 'favorit', 'aku', 'aku', 'beli', 'pas', 'lagi', 'clearence', 'sale', 'dapat', 'harga', 'yang', 'affdorable', 'banget', 'kayaknya', 'lebih', 'cantik', 'lagi', 'di', 'bersihin', 'dulu', 'kali', 'ya', 'debu', 'nya', 'meskipun', 'barang', 'yang', 'di', 'beli', 'itu', 'barang', 'clearance', 'tapi', 'keseluruhan', 'selalu', 'puas', 'belanja', 'disini']","['serum', 'favorit', 'beli', 'clearence', 'sale', 'harga', 'affdorable', 'banget', 'kayaknya', 'cantik', 'bersihin', 'debu', 'beli', 'clearance', 'puas', 'belanja']","['serum', 'favorit', 'beli', 'clearence', 'sale', 'harga', 'affdorable', 'banget', 'kayak', 'cantik', 'bersihin', 'debu', 'beli', 'clearance', 'puas', 'belanja']",serum favorit beli clearence sale harga affdorable banget kayak cantik bersihin debu beli clearance puas belanja
repurchase serum kecintaanku,repurchase serum kecintaanku,repurchase serum kecintaanku,"['repurchase', 'serum', 'kecintaanku']","['repurchase', 'serum', 'kecintaanku']","['repurchase', 'serum', 'cinta']",repurchase serum cinta
dipake langsung ngeresap enak bgt. semoga uas pake serum ini.,dipake langsung ngeresap enak bgt semoga uas pake serum ini,dipakai langsung ngeresap enak banget semoga uas pakai serum ini,"['dipakai', 'langsung', 'ngeresap', 'enak', 'banget', 'semoga', 'uas', 'pakai', 'serum', 'ini']","['dipakai', 'ngeresap', 'banget', 'semoga', 'uas', 'pakai', 'serum']","['pakai', 'ngeresap', 'banget', 'moga', 'uas', 'pakai', 'serum']",pakai ngeresap banget moga uas pakai serum
ok smoga cocok,ok smoga cocok,ok semoga cocok,"['ok', 'semoga', 'cocok']","['semoga', 'cocok']","['moga', 'cocok']",moga cocok
ok.blom dcobain,ok blom dcobain,ok belum dicoba,"['ok', 'belum', 'dicoba']",['dicoba'],['coba'],coba
ok blom dcoba smoga cocok,ok blom dcoba smoga cocok,ok belum dicoba semoga cocok,"['ok', 'belum', 'dicoba', 'semoga', 'cocok']","['dicoba', 'semoga', 'cocok']","['coba', 'moga', 'cocok']",coba moga cocok
blom dpakai smoga cocok,blom dpakai smoga cocok,belum dipakai semoga cocok,"['belum', 'dipakai', 'semoga', 'cocok']","['dipakai', 'semoga', 'cocok']","['pakai', 'moga', 'cocok']",pakai moga cocok
"baru mau nyoba pake sih, semoga cocok buat kulit wajah ku",baru mau nyoba pake sih semoga cocok buat kulit wajah ku,baru mau mencoba pakai sih semoga cocok buat kulit wajah ku,"['baru', 'mau', 'mencoba', 'pakai', 'sih', 'semoga', 'cocok', 'buat', 'kulit', 'wajah', 'ku']","['mencoba', 'pakai', 'semoga', 'cocok', 'kulit', 'ku']","['coba', 'pakai', 'moga', 'cocok', 'kulit', 'ku']",coba pakai moga cocok kulit ku
