case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
"hallo seller, ini pertama kalimya beli skin game acne warrior, ini salah satu woshlist ku sampe nabung nyisihin uang, eh pas ke checkout pengirimannya lama banget, estimasi tima tanggal 6, aku co tanggal 1 baru sampe tanggal 8, padahal cuma dr jakarta ke jogja aja. terus pengirimannya pas aku cek malah lwt makassar, aneh bgt, karna uda sering beli barang di jakarta, paling lama 4 hari sampe, agak khawatir sbnrnya sama stabilitas obat dan sediaan produknya, tapi packaging aman si, semoga gapapa ya dan ngasi efek, walau teksturnya agak lengket dan warnanya ga bening ternyata, berharap banget sama produk ini, makasih",hallo seller ini pertama kalimya beli skin game acne warrior ini salah satu woshlist ku sampe nabung nyisihin uang pas ke checkout pengirimannya lama banget estimasi tima tanggal aku co tanggal baru sampe tanggal padahal cuma dr jakarta ke jogja aja terus pengirimannya pas aku cek malah lwt makassar aneh bgt karna uda sering beli barang di jakarta paling lama hari sampe agak khawatir sbnrnya sama stabilitas obat dan sediaan produknya tapi packaging aman si semoga gapapa ya dan ngasi efek walau teksturnya agak lengket dan warnanya ga bening ternyata berharap banget sama produk ini makasih,halo seller ini pertama kalimya beli skin game acne warrior ini salah satu woshlist ku sampai nabung nyisihin uang pas ke checkout pengirimannya lama banget estimasi tima tanggal aku checkout tanggal baru sampai tanggal padahal cuma dari jakarta ke jogja saja terus pengirimannya pas aku cek malah lewat makassar aneh banget karena sudah sering beli barang di jakarta paling lama hari sampai agak khawatir sebenarnya sama stabilitas obat dan sediaan produknya tapi packaging aman sih semoga gapapa ya dan mengasih efek walau teksturnya agak lengket dan warnanya enggak bening ternyata berharap banget sama produk ini terima kasih,"['halo', 'seller', 'ini', 'pertama', 'kalimya', 'beli', 'skin', 'game', 'acne', 'warrior', 'ini', 'salah', 'satu', 'woshlist', 'ku', 'sampai', 'nabung', 'nyisihin', 'uang', 'pas', 'ke', 'checkout', 'pengirimannya', 'lama', 'banget', 'estimasi', 'tima', 'tanggal', 'aku', 'checkout', 'tanggal', 'baru', 'sampai', 'tanggal', 'padahal', 'cuma', 'dari', 'jakarta', 'ke', 'jogja', 'saja', 'terus', 'pengirimannya', 'pas', 'aku', 'cek', 'malah', 'lewat', 'makassar', 'aneh', 'banget', 'karena', 'sudah', 'sering', 'beli', 'barang', 'di', 'jakarta', 'paling', 'lama', 'hari', 'sampai', 'agak', 'khawatir', 'sebenarnya', 'sama', 'stabilitas', 'obat', 'dan', 'sediaan', 'produknya', 'tapi', 'packaging', 'aman', 'sih', 'semoga', 'gapapa', 'ya', 'dan', 'mengasih', 'efek', 'walau', 'teksturnya', 'agak', 'lengket', 'dan', 'warnanya', 'enggak', 'bening', 'ternyata', 'berharap', 'banget', 'sama', 'produk', 'ini', 'terima', 'kasih']","['seller', 'kalimya', 'beli', 'skin', 'game', 'acne', 'warrior', 'woshlist', 'ku', 'nabung', 'nyisihin', 'uang', 'checkout', 'pengirimannya', 'banget', 'estimasi', 'tima', 'checkout', 'jakarta', 'jogja', 'pengirimannya', 'cek', 'makassar', 'aneh', 'banget', 'beli', 'jakarta', 'khawatir', 'stabilitas', 'obat', 'sediaan', 'produknya', 'packaging', 'aman', 'semoga', 'gapapa', 'mengasih', 'efek', 'teksturnya', 'lengket', 'warnanya', 'bening', 'berharap', 'banget', 'produk', 'terima', 'kasih']","['seller', 'kalimya', 'beli', 'skin', 'game', 'acne', 'warrior', 'woshlist', 'ku', 'nabung', 'nyisihin', 'uang', 'checkout', 'kirim', 'banget', 'estimasi', 'tima', 'checkout', 'jakarta', 'jogja', 'kirim', 'cek', 'makassar', 'aneh', 'banget', 'beli', 'jakarta', 'khawatir', 'stabilitas', 'obat', 'sedia', 'produk', 'packaging', 'aman', 'moga', 'gapapa', 'asih', 'efek', 'tekstur', 'lengket', 'warna', 'bening', 'harap', 'banget', 'produk', 'terima', 'kasih']",seller kalimya beli skin game acne warrior woshlist ku nabung nyisihin uang checkout kirim banget estimasi tima checkout jakarta jogja kirim cek makassar aneh banget beli jakarta khawatir stabilitas obat sedia produk packaging aman moga gapapa asih efek tekstur lengket warna bening harap banget produk terima kasih
semogaa cocokk makasi juga freebiesnyaaa,semogaa cocokk makasi juga freebiesnyaaa,semoga cocok terima kasih juga freebiesnya,"['semoga', 'cocok', 'terima', 'kasih', 'juga', 'freebiesnya']","['semoga', 'cocok', 'terima', 'kasih', 'freebiesnya']","['moga', 'cocok', 'terima', 'kasih', 'freebiesnya']",moga cocok terima kasih freebiesnya
bagus bgt ga narik kulit tp moist minyak2 bersih,bagus bgt ga narik kulit tp moist minyak bersih,bagus banget enggak menarik kulit tapi moist minyak bersih,"['bagus', 'banget', 'enggak', 'menarik', 'kulit', 'tapi', 'moist', 'minyak', 'bersih']","['bagus', 'banget', 'menarik', 'kulit', 'moist', 'minyak', 'bersih']","['bagus', 'banget', 'tarik', 'kulit', 'moist', 'minyak', 'bersih']",bagus banget tarik kulit moist minyak bersih
diluar ekspektasi si. tnyt mate tone up ga greasy ga minyakan pas bgt pake ini ga usa pk porefessional lg uda bagus,diluar ekspektasi si tnyt mate tone up ga greasy ga minyakan pas bgt pake ini ga usa pk porefessional lg uda bagus,diluar ekspektasi sih ternyata mate tone up enggak greasy enggak minyakan pas banget pakai ini enggak usah pakai porefessional lagi sudah bagus,"['diluar', 'ekspektasi', 'sih', 'ternyata', 'mate', 'tone', 'up', 'enggak', 'greasy', 'enggak', 'minyakan', 'pas', 'banget', 'pakai', 'ini', 'enggak', 'usah', 'pakai', 'porefessional', 'lagi', 'sudah', 'bagus']","['diluar', 'ekspektasi', 'mate', 'tone', 'up', 'greasy', 'minyakan', 'banget', 'pakai', 'pakai', 'porefessional', 'bagus']","['luar', 'ekspektasi', 'mate', 'tone', 'up', 'greasy', 'minyak', 'banget', 'pakai', 'pakai', 'porefessional', 'bagus']",luar ekspektasi mate tone up greasy minyak banget pakai pakai porefessional bagus
"barang diterima dalam kondisi baik dan dapat dipergunakan dengan baik. cocok untuk kulit, tidak gatal dan panas.",barang diterima dalam kondisi baik dan dapat dipergunakan dengan baik cocok untuk kulit tidak gatal dan panas,barang diterima dalam kondisi baik dan dapat dipergunakan dengan baik cocok untuk kulit tidak gatal dan panas,"['barang', 'diterima', 'dalam', 'kondisi', 'baik', 'dan', 'dapat', 'dipergunakan', 'dengan', 'baik', 'cocok', 'untuk', 'kulit', 'tidak', 'gatal', 'dan', 'panas']","['diterima', 'cocok', 'kulit', 'gatal', 'panas']","['terima', 'cocok', 'kulit', 'gatal', 'panas']",terima cocok kulit gatal panas
"baru coba sekali, semoga cocok
makasiih dapet bonusan jugaa",baru coba sekali semoga cocok makasiih dapet bonusan jugaa,baru coba sekali semoga cocok terima kasih dapat bonusan juga,"['baru', 'coba', 'sekali', 'semoga', 'cocok', 'terima', 'kasih', 'dapat', 'bonusan', 'juga']","['coba', 'semoga', 'cocok', 'terima', 'kasih', 'bonusan']","['coba', 'moga', 'cocok', 'terima', 'kasih', 'bonus']",coba moga cocok terima kasih bonus
"sdh langganan, tiap habis sll beli disini, kali ini dpt free gift, thank you so much❤️❤️❤️",sdh langganan tiap habis sll beli disini kali ini dpt free gift thank you so much,sudah langganan tiap habis selalu beli disini kali ini dapat free gift thank you so much,"['sudah', 'langganan', 'tiap', 'habis', 'selalu', 'beli', 'disini', 'kali', 'ini', 'dapat', 'free', 'gift', 'thank', 'you', 'so', 'much']","['langganan', 'habis', 'beli', 'gift', 'thank', 'much']","['langgan', 'habis', 'beli', 'gift', 'thank', 'much']",langgan habis beli gift thank much
"setelah cocok sama moisturizer, skrg coba facial wash. udahlah beli diskon dapet hair mask pula. mantuliti",setelah cocok sama moisturizer skrg coba facial wash udahlah beli diskon dapet hair mask pula mantuliti,setelah cocok sama moisturizer sekarang coba facial wash sudahlah beli diskon dapat hair mask pula mantap,"['setelah', 'cocok', 'sama', 'moisturizer', 'sekarang', 'coba', 'facial', 'wash', 'sudahlah', 'beli', 'diskon', 'dapat', 'hair', 'mask', 'pula', 'mantap']","['cocok', 'moisturizer', 'coba', 'facial', 'wash', 'beli', 'diskon', 'hair', 'mask', 'mantap']","['cocok', 'moisturizer', 'coba', 'facial', 'wash', 'beli', 'diskon', 'hair', 'mask', 'mantap']",cocok moisturizer coba facial wash beli diskon hair mask mantap
ada bonusnya. thannks!,ada bonusnya thannks,ada bonusnya thanks,"['ada', 'bonusnya', 'thanks']","['bonusnya', 'thanks']","['bonus', 'thanks']",bonus thanks
calming bruntusan cuma dalam 1 minggu wkwk keren! cuma packaging serumnya sedikit nyebelin karena bentuknya pump gituu,calming bruntusan cuma dalam minggu keren cuma packaging serumnya sedikit nyebelin karena bentuknya pump gituu,calming bruntusan cuma dalam minggu keren cuma packaging serumnya sedikit menyebalkan karena bentuknya pump begitu,"['calming', 'bruntusan', 'cuma', 'dalam', 'minggu', 'keren', 'cuma', 'packaging', 'serumnya', 'sedikit', 'menyebalkan', 'karena', 'bentuknya', 'pump', 'begitu']","['calming', 'bruntusan', 'keren', 'packaging', 'serumnya', 'menyebalkan', 'bentuknya', 'pump']","['calming', 'bruntusan', 'keren', 'packaging', 'serum', 'sebal', 'bentuk', 'pump']",calming bruntusan keren packaging serum sebal bentuk pump
