case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar. calm down mampu mengatasi merah2. gud,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar calm down mampu mengatasi merah gud,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar calm down mampu mengatasi merah gud,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'calm', 'down', 'mampu', 'mengatasi', 'merah', 'gud']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'calm', 'down', 'mampu', 'mengatasi', 'merah', 'gud']",tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar calm down mampu mengatasi merah gud
pertama kali coba. semoga cocok ya. tapi enak banget roll nya sedingin itu. segar sekali. secara tekstur juga ga lengket. thanks juga ya bonusnya somethinc. selalu dikasih bonus yang berguna bangettt. lebih suka belanja online dibanding ke store. recommended,pertama kali coba semoga cocok ya tapi enak banget roll nya sedingin itu segar sekali secara tekstur juga ga lengket thanks juga ya bonusnya somethinc selalu dikasih bonus yang berguna bangettt lebih suka belanja online dibanding ke store recommended,pertama kali coba semoga cocok ya tapi enak banget roll nya sedingin itu segar sekali secara tekstur juga enggak lengket thanks juga ya bonusnya somethinc selalu dikasih bonus yang berguna banget lebih suka belanja online dibanding ke store recommended,"['pertama', 'kali', 'coba', 'semoga', 'cocok', 'ya', 'tapi', 'enak', 'banget', 'roll', 'nya', 'sedingin', 'itu', 'segar', 'sekali', 'secara', 'tekstur', 'juga', 'enggak', 'lengket', 'thanks', 'juga', 'ya', 'bonusnya', 'somethinc', 'selalu', 'dikasih', 'bonus', 'yang', 'berguna', 'banget', 'lebih', 'suka', 'belanja', 'online', 'dibanding', 'ke', 'store', 'recommended']","['pertama', 'kali', 'coba', 'semoga', 'cocok', 'enak', 'banget', 'roll', 'nya', 'sedingin', 'segar', 'sekali', 'tekstur', 'enggak', 'lengket', 'thanks', 'bonusnya', 'somethinc', 'selalu', 'dikasih', 'bonus', 'berguna', 'banget', 'lebih', 'suka', 'belanja', 'online', 'dibanding', 'store', 'recommended']",pertama kali coba semoga cocok enak banget roll nya sedingin segar sekali tekstur enggak lengket thanks bonusnya somethinc selalu dikasih bonus berguna banget lebih suka belanja online dibanding store recommended
"dibanding mascara somethinc satunya, saya prefer ini. karena ga terlalu terkesan “menggumpal” atau “rame”. dia lentik aja gitu. long lasting juga. ini udah pembelian kedua. suggest kalo beli mascara somethinc, beli yang removernya juga, karena menurutku agak susah ngilangin hanya dengan micellar water biasa. atau make up remover biasa. thanks juga ya bonusnya somethinc. selalu dikasih bonus yang berguna bangettt. lebih suka belanja online dibanding ke store. recommended",dibanding mascara somethinc satunya saya prefer ini karena ga terlalu terkesan menggumpal atau rame dia lentik aja gitu long lasting juga ini udah pembelian kedua suggest kalo beli mascara somethinc beli yang removernya juga karena menurutku agak susah ngilangin hanya dengan micellar water biasa atau make up remover biasa thanks juga ya bonusnya somethinc selalu dikasih bonus yang berguna bangettt lebih suka belanja online dibanding ke store recommended,dibanding mascara somethinc satunya saya prefer ini karena enggak terlalu terkesan menggumpal atau rame dia lentik saja begitu long lasting juga ini sudah pembelian kedua suggest kalo beli mascara somethinc beli yang removernya juga karena menurutku agak susah menghilangkan hanya dengan micellar water biasa atau memakai up remover biasa thanks juga ya bonusnya somethinc selalu dikasih bonus yang berguna banget lebih suka belanja online dibanding ke store recommended,"['dibanding', 'mascara', 'somethinc', 'satunya', 'saya', 'prefer', 'ini', 'karena', 'enggak', 'terlalu', 'terkesan', 'menggumpal', 'atau', 'rame', 'dia', 'lentik', 'saja', 'begitu', 'long', 'lasting', 'juga', 'ini', 'sudah', 'pembelian', 'kedua', 'suggest', 'kalo', 'beli', 'mascara', 'somethinc', 'beli', 'yang', 'removernya', 'juga', 'karena', 'menurutku', 'agak', 'susah', 'menghilangkan', 'hanya', 'dengan', 'micellar', 'water', 'biasa', 'atau', 'memakai', 'up', 'remover', 'biasa', 'thanks', 'juga', 'ya', 'bonusnya', 'somethinc', 'selalu', 'dikasih', 'bonus', 'yang', 'berguna', 'banget', 'lebih', 'suka', 'belanja', 'online', 'dibanding', 'ke', 'store', 'recommended']","['dibanding', 'mascara', 'somethinc', 'satunya', 'prefer', 'enggak', 'terlalu', 'terkesan', 'menggumpal', 'rame', 'lentik', 'long', 'lasting', 'pembelian', 'kedua', 'suggest', 'kalo', 'beli', 'mascara', 'somethinc', 'beli', 'removernya', 'menurutku', 'susah', 'menghilangkan', 'micellar', 'water', 'biasa', 'memakai', 'up', 'remover', 'biasa', 'thanks', 'bonusnya', 'somethinc', 'selalu', 'dikasih', 'bonus', 'berguna', 'banget', 'lebih', 'suka', 'belanja', 'online', 'dibanding', 'store', 'recommended']",dibanding mascara somethinc satunya prefer enggak terlalu terkesan menggumpal rame lentik long lasting pembelian kedua suggest kalo beli mascara somethinc beli removernya menurutku susah menghilangkan micellar water biasa memakai up remover biasa thanks bonusnya somethinc selalu dikasih bonus berguna banget lebih suka belanja online dibanding store recommended
pembelian keselian kalinya. teksturnya cukup oily ya. tapi mudah meresap. di saya cocok banget. wajah jadi keliatan lebih cerah untuk kulit wajah saya yang agak sensitif dan netral (ga oily dan ga kerinh banget). recommended. thanks somethinc. thanks juga bonusnya. terharu banget selalu dapat bonus yang berguna bangetttt. lebih suka beli online dibanding di store,pembelian keselian kalinya teksturnya cukup oily ya tapi mudah meresap di saya cocok banget wajah jadi keliatan lebih cerah untuk kulit wajah saya yang agak sensitif dan netral ga oily dan ga kerinh banget recommended thanks somethinc thanks juga bonusnya terharu banget selalu dapat bonus yang berguna bangetttt lebih suka beli online dibanding di store,pembelian keselian kalinya teksturnya cukup oily ya tapi mudah meresap di saya cocok banget wajah jadi kelihatan lebih cerah untuk kulit wajah saya yang agak sensitif dan netral enggak oily dan enggak kerinh banget recommended thanks somethinc thanks juga bonusnya terharu banget selalu dapat bonus yang berguna banget lebih suka beli online dibanding di store,"['pembelian', 'keselian', 'kalinya', 'teksturnya', 'cukup', 'oily', 'ya', 'tapi', 'mudah', 'meresap', 'di', 'saya', 'cocok', 'banget', 'wajah', 'jadi', 'kelihatan', 'lebih', 'cerah', 'untuk', 'kulit', 'wajah', 'saya', 'yang', 'agak', 'sensitif', 'dan', 'netral', 'enggak', 'oily', 'dan', 'enggak', 'kerinh', 'banget', 'recommended', 'thanks', 'somethinc', 'thanks', 'juga', 'bonusnya', 'terharu', 'banget', 'selalu', 'dapat', 'bonus', 'yang', 'berguna', 'banget', 'lebih', 'suka', 'beli', 'online', 'dibanding', 'di', 'store']","['pembelian', 'keselian', 'kalinya', 'teksturnya', 'cukup', 'oily', 'mudah', 'meresap', 'cocok', 'banget', 'wajah', 'jadi', 'kelihatan', 'lebih', 'cerah', 'kulit', 'wajah', 'sensitif', 'netral', 'enggak', 'oily', 'enggak', 'kerinh', 'banget', 'recommended', 'thanks', 'somethinc', 'thanks', 'bonusnya', 'terharu', 'banget', 'selalu', 'bonus', 'berguna', 'banget', 'lebih', 'suka', 'beli', 'online', 'dibanding', 'store']",pembelian keselian kalinya teksturnya cukup oily mudah meresap cocok banget wajah jadi kelihatan lebih cerah kulit wajah sensitif netral enggak oily enggak kerinh banget recommended thanks somethinc thanks bonusnya terharu banget selalu bonus berguna banget lebih suka beli online dibanding store
pesanan sesuai...senang krn selalu dikasih bonus...tq ya k...😘,pesanan sesuai senang krn selalu dikasih bonus tq ya,pesanan sesuai senang karena selalu dikasih bonus terima kasih ya,"['pesanan', 'sesuai', 'senang', 'karena', 'selalu', 'dikasih', 'bonus', 'terima', 'kasih', 'ya']","['pesanan', 'sesuai', 'senang', 'selalu', 'dikasih', 'bonus', 'terima', 'kasih']",pesanan sesuai senang selalu dikasih bonus terima kasih
"baru mau coba yg ini,moga cocok 😊",baru mau coba yg ini moga cocok,baru mau coba yang ini moga cocok,"['baru', 'mau', 'coba', 'yang', 'ini', 'moga', 'cocok']","['baru', 'mau', 'coba', 'moga', 'cocok']",baru mau coba moga cocok
"sudah langanan disini ,pelayanannya 👍👍",sudah langanan disini pelayanannya,sudah langanan disini pelayanannya,"['sudah', 'langanan', 'disini', 'pelayanannya']","['langanan', 'disini', 'pelayanannya']",langanan disini pelayanannya
"produknya bagus, semoga cocok",produknya bagus semoga cocok,produknya bagus semoga cocok,"['produknya', 'bagus', 'semoga', 'cocok']","['produknya', 'bagus', 'semoga', 'cocok']",produknya bagus semoga cocok
ngefek untuk yg udh buntu sama jerawat punggung bertahun2,ngefek untuk yg udh buntu sama jerawat punggung bertahun,ngefek untuk yang sudah buntu sama jerawat punggung bertahun,"['ngefek', 'untuk', 'yang', 'sudah', 'buntu', 'sama', 'jerawat', 'punggung', 'bertahun']","['ngefek', 'buntu', 'sama', 'jerawat', 'punggung', 'bertahun']",ngefek buntu sama jerawat punggung bertahun
cocok untuk kulit sensitiffff,cocok untuk kulit sensitiffff,cocok untuk kulit sensitiffff,"['cocok', 'untuk', 'kulit', 'sensitiffff']","['cocok', 'kulit', 'sensitiffff']",cocok kulit sensitiffff
"tipe kulitku kombinasi, serum niacinamide somethinc ini udh jadi favoritku dr dulu, selalu rutin pakai karena emang sebagus ituu",tipe kulitku kombinasi serum niacinamide somethinc ini udh jadi favoritku dr dulu selalu rutin pakai karena emang sebagus ituu,tipe kulitku kombinasi serum niacinamide somethinc ini sudah jadi favoritku dari dulu selalu rutin pakai karena memang sebagus itu,"['tipe', 'kulitku', 'kombinasi', 'serum', 'niacinamide', 'somethinc', 'ini', 'sudah', 'jadi', 'favoritku', 'dari', 'dulu', 'selalu', 'rutin', 'pakai', 'karena', 'memang', 'sebagus', 'itu']","['tipe', 'kulitku', 'kombinasi', 'serum', 'niacinamide', 'somethinc', 'jadi', 'favoritku', 'dulu', 'selalu', 'rutin', 'pakai', 'memang', 'sebagus']",tipe kulitku kombinasi serum niacinamide somethinc jadi favoritku dulu selalu rutin pakai memang sebagus
terima kasih. paketnya sudah sampai dengan aman.  tipe kulitku kombinasi,terima kasih paketnya sudah sampai dengan aman tipe kulitku kombinasi,terima kasih paketnya sudah sampai dengan aman tipe kulitku kombinasi,"['terima', 'kasih', 'paketnya', 'sudah', 'sampai', 'dengan', 'aman', 'tipe', 'kulitku', 'kombinasi']","['terima', 'kasih', 'paketnya', 'aman', 'tipe', 'kulitku', 'kombinasi']",terima kasih paketnya aman tipe kulitku kombinasi
"tipe kulitku kombinasi dan sensitif, sejak pakai ini masalah kulitku teratasi. bisa cepat meredakan jerawat, kulit yg iritasi. melembabkan. adanya kemasan refill sekarang juga bagus banget, ngga perlu beli jar lagi. jadi bisa sekalian mengurangi sampah plastik.",tipe kulitku kombinasi dan sensitif sejak pakai ini masalah kulitku teratasi bisa cepat meredakan jerawat kulit yg iritasi melembabkan adanya kemasan refill sekarang juga bagus banget ngga perlu beli jar lagi jadi bisa sekalian mengurangi sampah plastik,tipe kulitku kombinasi dan sensitif sejak pakai ini masalah kulitku teratasi bisa cepat meredakan jerawat kulit yang iritasi melembabkan adanya kemasan refill sekarang juga bagus banget enggak perlu beli jar lagi jadi bisa sekalian mengurangi sampah plastik,"['tipe', 'kulitku', 'kombinasi', 'dan', 'sensitif', 'sejak', 'pakai', 'ini', 'masalah', 'kulitku', 'teratasi', 'bisa', 'cepat', 'meredakan', 'jerawat', 'kulit', 'yang', 'iritasi', 'melembabkan', 'adanya', 'kemasan', 'refill', 'sekarang', 'juga', 'bagus', 'banget', 'enggak', 'perlu', 'beli', 'jar', 'lagi', 'jadi', 'bisa', 'sekalian', 'mengurangi', 'sampah', 'plastik']","['tipe', 'kulitku', 'kombinasi', 'sensitif', 'sejak', 'pakai', 'masalah', 'kulitku', 'teratasi', 'cepat', 'meredakan', 'jerawat', 'kulit', 'iritasi', 'melembabkan', 'adanya', 'kemasan', 'refill', 'sekarang', 'bagus', 'banget', 'enggak', 'perlu', 'beli', 'jar', 'jadi', 'sekalian', 'mengurangi', 'sampah', 'plastik']",tipe kulitku kombinasi sensitif sejak pakai masalah kulitku teratasi cepat meredakan jerawat kulit iritasi melembabkan adanya kemasan refill sekarang bagus banget enggak perlu beli jar jadi sekalian mengurangi sampah plastik
teksturnya agak kental tp masi mudah menyerap. melembabkan dan mencerahkan. cocok!,teksturnya agak kental tp masi mudah menyerap melembabkan dan mencerahkan cocok,teksturnya agak kental tapi masih mudah menyerap melembabkan dan mencerahkan cocok,"['teksturnya', 'agak', 'kental', 'tapi', 'masih', 'mudah', 'menyerap', 'melembabkan', 'dan', 'mencerahkan', 'cocok']","['teksturnya', 'kental', 'mudah', 'menyerap', 'melembabkan', 'mencerahkan', 'cocok']",teksturnya kental mudah menyerap melembabkan mencerahkan cocok
tipe kulitku kering cocok bgt,tipe kulitku kering cocok bgt,tipe kulitku kering cocok banget,"['tipe', 'kulitku', 'kering', 'cocok', 'banget']","['tipe', 'kulitku', 'kering', 'cocok', 'banget']",tipe kulitku kering cocok banget
sesuai dengan deskripsi 👍🏻,sesuai dengan deskripsi,sesuai dengan deskripsi,"['sesuai', 'dengan', 'deskripsi']","['sesuai', 'deskripsi']",sesuai deskripsi
seauai dengan deskripsi 👍🏻,seauai dengan deskripsi,seauai dengan deskripsi,"['seauai', 'dengan', 'deskripsi']","['seauai', 'deskripsi']",seauai deskripsi
"tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar, tapi ngga perlu takut karena pakai produk somethinc segampang itu jadi glowing, dan bisa buat cewek/cowok.",tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar tapi ngga perlu takut karena pakai produk somethinc segampang itu jadi glowing dan bisa buat cewek cowok,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar tapi enggak perlu takut karena pakai produk somethinc segampang itu jadi glowing dan bisa buat cewek cowok,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tapi', 'enggak', 'perlu', 'takut', 'karena', 'pakai', 'produk', 'somethinc', 'segampang', 'itu', 'jadi', 'glowing', 'dan', 'bisa', 'buat', 'cewek', 'cowok']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'enggak', 'perlu', 'takut', 'pakai', 'produk', 'somethinc', 'segampang', 'jadi', 'glowing', 'buat', 'cewek', 'cowok']",tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar enggak perlu takut pakai produk somethinc segampang jadi glowing buat cewek cowok
"pertama kali coba serum ini semoga cocok 
pengiriman cepet 
thankyou seller",pertama kali coba serum ini semoga cocok pengiriman cepet thankyou seller,pertama kali coba serum ini semoga cocok pengiriman cepat thankyou seller,"['pertama', 'kali', 'coba', 'serum', 'ini', 'semoga', 'cocok', 'pengiriman', 'cepat', 'thankyou', 'seller']","['pertama', 'kali', 'coba', 'serum', 'semoga', 'cocok', 'pengiriman', 'cepat', 'thankyou', 'seller']",pertama kali coba serum semoga cocok pengiriman cepat thankyou seller
love. thanks ya somethinc. you make my day.,love thanks ya somethinc you make my day,love thanks ya somethinc you memakai my day,"['love', 'thanks', 'ya', 'somethinc', 'you', 'memakai', 'my', 'day']","['love', 'thanks', 'somethinc', 'you', 'memakai', 'my', 'day']",love thanks somethinc you memakai my day
serum yg mencerahkan wajah,serum yg mencerahkan wajah,serum yang mencerahkan wajah,"['serum', 'yang', 'mencerahkan', 'wajah']","['serum', 'mencerahkan', 'wajah']",serum mencerahkan wajah
pertama kali coba merk ini. tertarik karena banyak review yang bagus. melembabkan dan mudah menyerap.,pertama kali coba merk ini tertarik karena banyak review yang bagus melembabkan dan mudah menyerap,pertama kali coba merk ini tertarik karena banyak review yang bagus melembabkan dan mudah menyerap,"['pertama', 'kali', 'coba', 'merk', 'ini', 'tertarik', 'karena', 'banyak', 'review', 'yang', 'bagus', 'melembabkan', 'dan', 'mudah', 'menyerap']","['pertama', 'kali', 'coba', 'merk', 'tertarik', 'banyak', 'review', 'bagus', 'melembabkan', 'mudah', 'menyerap']",pertama kali coba merk tertarik banyak review bagus melembabkan mudah menyerap
"barang sampai dengan selamat, dipacking dengan rapi dan aman . mantab tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat",barang sampai dengan selamat dipacking dengan rapi dan aman mantab tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,barang sampai dengan selamat dipacking dengan rapi dan aman mantap tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat,"['barang', 'sampai', 'dengan', 'selamat', 'dipacking', 'dengan', 'rapi', 'dan', 'aman', 'mantap', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']","['barang', 'selamat', 'dipacking', 'rapi', 'aman', 'mantap', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat']",barang selamat dipacking rapi aman mantap tipe kulitku berminyak tipe kulitku kombinasi masalah kulitku jerawat
semoga cocok pengiriman cepet baanget,semoga cocok pengiriman cepet baanget,semoga cocok pengiriman cepat banget,"['semoga', 'cocok', 'pengiriman', 'cepat', 'banget']","['semoga', 'cocok', 'pengiriman', 'cepat', 'banget']",semoga cocok pengiriman cepat banget
semoga cocok,semoga cocok,semoga cocok,"['semoga', 'cocok']","['semoga', 'cocok']",semoga cocok
bagus warna natural ringan di pakenya awet ga gampang pudar thanku. skrg udah mau abis di pakein anaku trus haha,bagus warna natural ringan di pakenya awet ga gampang pudar thanku skrg udah mau abis di pakein anaku trus,bagus warna natural ringan di pakenya awet enggak gampang pudar thanku sekarang sudah mau habis di pakein anaku terus,"['bagus', 'warna', 'natural', 'ringan', 'di', 'pakenya', 'awet', 'enggak', 'gampang', 'pudar', 'thanku', 'sekarang', 'sudah', 'mau', 'habis', 'di', 'pakein', 'anaku', 'terus']","['bagus', 'warna', 'natural', 'ringan', 'pakenya', 'awet', 'enggak', 'gampang', 'pudar', 'thanku', 'sekarang', 'mau', 'habis', 'pakein', 'anaku', 'terus']",bagus warna natural ringan pakenya awet enggak gampang pudar thanku sekarang mau habis pakein anaku terus
"dlm bentuk gel tanpa aroma, cukup efektif ngempesin jerawat, cm agak lama keringnya",dlm bentuk gel tanpa aroma cukup efektif ngempesin jerawat cm agak lama keringnya,dalam bentuk gel tanpa aroma cukup efektif ngempesin jerawat cuma agak lama keringnya,"['dalam', 'bentuk', 'gel', 'tanpa', 'aroma', 'cukup', 'efektif', 'ngempesin', 'jerawat', 'cuma', 'agak', 'lama', 'keringnya']","['bentuk', 'gel', 'aroma', 'cukup', 'efektif', 'ngempesin', 'jerawat', 'cuma', 'lama', 'keringnya']",bentuk gel aroma cukup efektif ngempesin jerawat cuma lama keringnya
"barang sesuai, packaging aman, dpt harga promoooo thx seller semoga cocok🫰🏻",barang sesuai packaging aman dpt harga promoooo thx seller semoga cocok,barang sesuai packaging aman dapat harga promoooo thanks seller semoga cocok,"['barang', 'sesuai', 'packaging', 'aman', 'dapat', 'harga', 'promoooo', 'thanks', 'seller', 'semoga', 'cocok']","['barang', 'sesuai', 'packaging', 'aman', 'harga', 'promoooo', 'thanks', 'seller', 'semoga', 'cocok']",barang sesuai packaging aman harga promoooo thanks seller semoga cocok
"expired date nya kurang dari setahun padahal produk eyeshadow biasa digunakan lama dan biasanya kalau di brand lain, barang yang akan expired akan ditulis di deskripsi nya",expired date nya kurang dari setahun padahal produk eyeshadow biasa digunakan lama dan biasanya kalau di brand lain barang yang akan expired akan ditulis di deskripsi nya,expired date nya kurang dari setahun padahal produk eyeshadow biasa digunakan lama dan biasanya kalau di brand lain barang yang akan expired akan ditulis di deskripsi nya,"['expired', 'date', 'nya', 'kurang', 'dari', 'setahun', 'padahal', 'produk', 'eyeshadow', 'biasa', 'digunakan', 'lama', 'dan', 'biasanya', 'kalau', 'di', 'brand', 'lain', 'barang', 'yang', 'akan', 'expired', 'akan', 'ditulis', 'di', 'deskripsi', 'nya']","['expired', 'date', 'nya', 'kurang', 'setahun', 'padahal', 'produk', 'eyeshadow', 'biasa', 'digunakan', 'lama', 'biasanya', 'kalau', 'brand', 'barang', 'expired', 'ditulis', 'deskripsi', 'nya']",expired date nya kurang setahun padahal produk eyeshadow biasa digunakan lama biasanya kalau brand barang expired ditulis deskripsi nya
"nyaman dipake, kecil bisa dibawa kemana2 👍🏼👍🏼",nyaman dipake kecil bisa dibawa kemana,nyaman dipakai kecil bisa dibawa kemana,"['nyaman', 'dipakai', 'kecil', 'bisa', 'dibawa', 'kemana']","['nyaman', 'dipakai', 'kecil', 'dibawa']",nyaman dipakai kecil dibawa
baru mau cobaa yg copy paste,baru mau cobaa yg copy paste,baru mau coba yang copy paste,"['baru', 'mau', 'coba', 'yang', 'copy', 'paste']","['baru', 'mau', 'coba', 'copy', 'paste']",baru mau coba copy paste
"barang cepat sampai.. lumayan cocok di tipe kulit yg berminyak.. kinerja produk juga bagus, tdk membuat iritasi.. semoga bisa awet penggunaannya.. amin..",barang cepat sampai lumayan cocok di tipe kulit yg berminyak kinerja produk juga bagus tdk membuat iritasi semoga bisa awet penggunaannya amin,barang cepat sampai lumayan cocok di tipe kulit yang berminyak kinerja produk juga bagus tidak membuat iritasi semoga bisa awet penggunaannya amin,"['barang', 'cepat', 'sampai', 'lumayan', 'cocok', 'di', 'tipe', 'kulit', 'yang', 'berminyak', 'kinerja', 'produk', 'juga', 'bagus', 'tidak', 'membuat', 'iritasi', 'semoga', 'bisa', 'awet', 'penggunaannya', 'amin']","['barang', 'cepat', 'lumayan', 'cocok', 'tipe', 'kulit', 'berminyak', 'kinerja', 'produk', 'bagus', 'membuat', 'iritasi', 'semoga', 'awet', 'penggunaannya', 'amin']",barang cepat lumayan cocok tipe kulit berminyak kinerja produk bagus membuat iritasi semoga awet penggunaannya amin
"tipe kulitku kering, bagus bgt please aku suka bgt hasilnyaaaaa",tipe kulitku kering bagus bgt please aku suka bgt hasilnyaaaaa,tipe kulitku kering bagus banget please aku suka banget hasilnyaaaaa,"['tipe', 'kulitku', 'kering', 'bagus', 'banget', 'please', 'aku', 'suka', 'banget', 'hasilnyaaaaa']","['tipe', 'kulitku', 'kering', 'bagus', 'banget', 'please', 'aku', 'suka', 'banget', 'hasilnyaaaaa']",tipe kulitku kering bagus banget please aku suka banget hasilnyaaaaa
tipe kulitku berminyak jd cocok banget pake inii,tipe kulitku berminyak jd cocok banget pake inii,tipe kulitku berminyak jadi cocok banget pakai ini,"['tipe', 'kulitku', 'berminyak', 'jadi', 'cocok', 'banget', 'pakai', 'ini']","['tipe', 'kulitku', 'berminyak', 'jadi', 'cocok', 'banget', 'pakai']",tipe kulitku berminyak jadi cocok banget pakai
"tipe kulitku normal,semoga cocok,mkch seller",tipe kulitku normal semoga cocok mkch seller,tipe kulitku normal semoga cocok mkch seller,"['tipe', 'kulitku', 'normal', 'semoga', 'cocok', 'mkch', 'seller']","['tipe', 'kulitku', 'normal', 'semoga', 'cocok', 'mkch', 'seller']",tipe kulitku normal semoga cocok mkch seller
"paket dtg sesuai orderan,blom dicoba,tp semoga cocok,maaci seller",paket dtg sesuai orderan blom dicoba tp semoga cocok maaci seller,paket datang sesuai orderan belum dicoba tapi semoga cocok maaci seller,"['paket', 'datang', 'sesuai', 'orderan', 'belum', 'dicoba', 'tapi', 'semoga', 'cocok', 'maaci', 'seller']","['paket', 'datang', 'sesuai', 'orderan', 'dicoba', 'semoga', 'cocok', 'maaci', 'seller']",paket datang sesuai orderan dicoba semoga cocok maaci seller
baru mau coba..semoga cocok..pengiriman lama..tapi produk kemasan oke..bagus,baru mau coba semoga cocok pengiriman lama tapi produk kemasan oke bagus,baru mau coba semoga cocok pengiriman lama tapi produk kemasan oke bagus,"['baru', 'mau', 'coba', 'semoga', 'cocok', 'pengiriman', 'lama', 'tapi', 'produk', 'kemasan', 'oke', 'bagus']","['baru', 'mau', 'coba', 'semoga', 'cocok', 'pengiriman', 'lama', 'produk', 'kemasan', 'oke', 'bagus']",baru mau coba semoga cocok pengiriman lama produk kemasan oke bagus
"packing sangat rapih, pengiriman cepat, blm di coba smg cocok. terima kasih seller, terima kasih pak kurir 👍👍",packing sangat rapih pengiriman cepat blm di coba smg cocok terima kasih seller terima kasih pak kurir,packing sangat rapi pengiriman cepat belum di coba semoga cocok terima kasih seller terima kasih pak kurir,"['packing', 'sangat', 'rapi', 'pengiriman', 'cepat', 'belum', 'di', 'coba', 'semoga', 'cocok', 'terima', 'kasih', 'seller', 'terima', 'kasih', 'pak', 'kurir']","['packing', 'sangat', 'rapi', 'pengiriman', 'cepat', 'coba', 'semoga', 'cocok', 'terima', 'kasih', 'seller', 'terima', 'kasih', 'pak', 'kurir']",packing sangat rapi pengiriman cepat coba semoga cocok terima kasih seller terima kasih pak kurir
serumnya sampai dengan selamat,serumnya sampai dengan selamat,serumnya sampai dengan selamat,"['serumnya', 'sampai', 'dengan', 'selamat']","['serumnya', 'selamat']",serumnya selamat
tipe kulitku kombinasi under tone kulitku netral,tipe kulitku kombinasi under tone kulitku netral,tipe kulitku kombinasi under tone kulitku netral,"['tipe', 'kulitku', 'kombinasi', 'under', 'tone', 'kulitku', 'netral']","['tipe', 'kulitku', 'kombinasi', 'under', 'tone', 'kulitku', 'netral']",tipe kulitku kombinasi under tone kulitku netral
bagus banget packagingnya safety dan super cuteeee smg cocok  tipe kulitku berminyak,bagus banget packagingnya safety dan super cuteeee smg cocok tipe kulitku berminyak,bagus banget packagingnya safety dan super cuteeee semoga cocok tipe kulitku berminyak,"['bagus', 'banget', 'packagingnya', 'safety', 'dan', 'super', 'cuteeee', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak']","['bagus', 'banget', 'packagingnya', 'safety', 'super', 'cuteeee', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak']",bagus banget packagingnya safety super cuteeee semoga cocok tipe kulitku berminyak
"bagus banget banget banget , warnanya juga pas",bagus banget banget banget warnanya juga pas,bagus banget banget banget warnanya juga pas,"['bagus', 'banget', 'banget', 'banget', 'warnanya', 'juga', 'pas']","['bagus', 'banget', 'banget', 'banget', 'warnanya', 'pas']",bagus banget banget banget warnanya pas
reorder kesekian kalinya. cocok dikulit suami saya. packaging selalu aman. terima kasih!,reorder kesekian kalinya cocok dikulit suami saya packaging selalu aman terima kasih,reorder kesekian kalinya cocok dikulit suami saya packaging selalu aman terima kasih,"['reorder', 'kesekian', 'kalinya', 'cocok', 'dikulit', 'suami', 'saya', 'packaging', 'selalu', 'aman', 'terima', 'kasih']","['reorder', 'kesekian', 'kalinya', 'cocok', 'dikulit', 'suami', 'packaging', 'selalu', 'aman', 'terima', 'kasih']",reorder kesekian kalinya cocok dikulit suami packaging selalu aman terima kasih
sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']",sangat bagus
