case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma
"terima kasih,... ada bonusannya sukak... 😍",terima kasih ada bonusannya sukak,terima kasih ada bonusannya suka,"['terima', 'kasih', 'ada', 'bonusannya', 'suka']","['terima', 'kasih', 'bonusannya', 'suka']",terima kasih bonusannya suka
"tipe kulitku kombinasi, cocok buat sekeluarga",tipe kulitku kombinasi cocok buat sekeluarga,tipe kulitku kombinasi cocok buat sekeluarga,"['tipe', 'kulitku', 'kombinasi', 'cocok', 'buat', 'sekeluarga']","['tipe', 'kulitku', 'kombinasi', 'cocok', 'buat', 'sekeluarga']",tipe kulitku kombinasi cocok buat sekeluarga
"yey dapet gratis luv, semoga cocok tipe kulitku kombinasi",yey dapet gratis luv semoga cocok tipe kulitku kombinasi,yey dapat gratis love semoga cocok tipe kulitku kombinasi,"['yey', 'dapat', 'gratis', 'love', 'semoga', 'cocok', 'tipe', 'kulitku', 'kombinasi']","['yey', 'gratis', 'love', 'semoga', 'cocok', 'tipe', 'kulitku', 'kombinasi']",yey gratis love semoga cocok tipe kulitku kombinasi
"partikel powdernya kecil sekali, puffnya jg lembut, dan pas bgt di kulitku yg cool undertone",partikel powdernya kecil sekali puffnya jg lembut dan pas bgt di kulitku yg cool undertone,partikel powdernya kecil sekali puffnya juga lembut dan pas banget di kulitku yang cool undertone,"['partikel', 'powdernya', 'kecil', 'sekali', 'puffnya', 'juga', 'lembut', 'dan', 'pas', 'banget', 'di', 'kulitku', 'yang', 'cool', 'undertone']","['partikel', 'powdernya', 'kecil', 'sekali', 'puffnya', 'lembut', 'pas', 'banget', 'kulitku', 'cool', 'undertone']",partikel powdernya kecil sekali puffnya lembut pas banget kulitku cool undertone
semoga cocok baru pertama kali coba,semoga cocok baru pertama kali coba,semoga cocok baru pertama kali coba,"['semoga', 'cocok', 'baru', 'pertama', 'kali', 'coba']","['semoga', 'cocok', 'baru', 'pertama', 'kali', 'coba']",semoga cocok baru pertama kali coba
puas bnget belanja di sini. seller fast respon. pengiriman super cepat dan barang dikemas aman. barang yg dipesan juga semua sesuai gambar. very recommended seller👍👍👍,puas bnget belanja di sini seller fast respon pengiriman super cepat dan barang dikemas aman barang yg dipesan juga semua sesuai gambar very recommended seller,puas banget belanja di sini seller fast respon pengiriman super cepat dan barang dikemas aman barang yang dipesan juga semua sesuai gambar very recommended seller,"['puas', 'banget', 'belanja', 'di', 'sini', 'seller', 'fast', 'respon', 'pengiriman', 'super', 'cepat', 'dan', 'barang', 'dikemas', 'aman', 'barang', 'yang', 'dipesan', 'juga', 'semua', 'sesuai', 'gambar', 'very', 'recommended', 'seller']","['puas', 'banget', 'belanja', 'sini', 'seller', 'fast', 'respon', 'pengiriman', 'super', 'cepat', 'barang', 'dikemas', 'aman', 'barang', 'dipesan', 'semua', 'sesuai', 'gambar', 'very', 'recommended', 'seller']",puas banget belanja sini seller fast respon pengiriman super cepat barang dikemas aman barang dipesan semua sesuai gambar very recommended seller
cocok di kulitku,cocok di kulitku,cocok di kulitku,"['cocok', 'di', 'kulitku']","['cocok', 'kulitku']",cocok kulitku
beli waktu lagi promoo semoga hasilnya baguss,beli waktu lagi promoo semoga hasilnya baguss,beli waktu lagi promo semoga hasilnya bagus,"['beli', 'waktu', 'lagi', 'promo', 'semoga', 'hasilnya', 'bagus']","['beli', 'waktu', 'promo', 'semoga', 'hasilnya', 'bagus']",beli waktu promo semoga hasilnya bagus
"ni yg fitunggu mau dicoba buat membersihkan make up secara kilit kita sensitif tp hampir smua produk sometinc cocok, smg sikses lokal indonesia. dan terimakasih hadiahnya luar biasa",ni yg fitunggu mau dicoba buat membersihkan make up secara kilit kita sensitif tp hampir smua produk sometinc cocok smg sikses lokal indonesia dan terimakasih hadiahnya luar biasa,nih yang fitunggu mau dicoba buat membersihkan memakai up secara kilit kita sensitif tapi hampir semua produk sometinc cocok semoga sikses lokal indonesia dan terima kasih hadiahnya luar biasa,"['nih', 'yang', 'fitunggu', 'mau', 'dicoba', 'buat', 'membersihkan', 'memakai', 'up', 'secara', 'kilit', 'kita', 'sensitif', 'tapi', 'hampir', 'semua', 'produk', 'sometinc', 'cocok', 'semoga', 'sikses', 'lokal', 'indonesia', 'dan', 'terima', 'kasih', 'hadiahnya', 'luar', 'biasa']","['nih', 'fitunggu', 'mau', 'dicoba', 'buat', 'membersihkan', 'memakai', 'up', 'kilit', 'sensitif', 'hampir', 'semua', 'produk', 'sometinc', 'cocok', 'semoga', 'sikses', 'lokal', 'indonesia', 'terima', 'kasih', 'hadiahnya', 'luar', 'biasa']",nih fitunggu mau dicoba buat membersihkan memakai up kilit sensitif hampir semua produk sometinc cocok semoga sikses lokal indonesia terima kasih hadiahnya luar biasa
"dah pake hampir 4 botol cocok sebetulnya, tp kalo malas cuci muka sblm tifur ya tumbuh lg jerawatnya, jd emang kitanya jg hrs rajin membersihkan wajah kita",dah pake hampir botol cocok sebetulnya tp kalo malas cuci muka sblm tifur ya tumbuh lg jerawatnya jd emang kitanya jg hrs rajin membersihkan wajah kita,deh pakai hampir botol cocok sebetulnya tapi kalo malas cuci muka sebelum tifur ya tumbuh lagi jerawatnya jadi memang kitanya juga harus rajin membersihkan wajah kita,"['deh', 'pakai', 'hampir', 'botol', 'cocok', 'sebetulnya', 'tapi', 'kalo', 'malas', 'cuci', 'muka', 'sebelum', 'tifur', 'ya', 'tumbuh', 'lagi', 'jerawatnya', 'jadi', 'memang', 'kitanya', 'juga', 'harus', 'rajin', 'membersihkan', 'wajah', 'kita']","['deh', 'pakai', 'hampir', 'botol', 'cocok', 'kalo', 'malas', 'cuci', 'muka', 'tifur', 'tumbuh', 'jerawatnya', 'jadi', 'memang', 'kitanya', 'rajin', 'membersihkan', 'wajah']",deh pakai hampir botol cocok kalo malas cuci muka tifur tumbuh jerawatnya jadi memang kitanya rajin membersihkan wajah
