case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma
dpt potongan harga plus dikasih bonus penjepit bulu mata. terimakasih somethinc,dpt potongan harga plus dikasih bonus penjepit bulu mata terimakasih somethinc,dapat potongan harga plus dikasih bonus penjepit bulu mata terima kasih somethinc,"['dapat', 'potongan', 'harga', 'plus', 'dikasih', 'bonus', 'penjepit', 'bulu', 'mata', 'terima', 'kasih', 'somethinc']","['potongan', 'harga', 'plus', 'dikasih', 'bonus', 'penjepit', 'bulu', 'terima', 'kasih', 'somethinc']","['potong', 'harga', 'plus', 'kasih', 'bonus', 'jepit', 'bulu', 'terima', 'kasih', 'somethinc']",potong harga plus kasih bonus jepit bulu terima kasih somethinc
"facial wash favorit, membersihkan dgn baik, tidak bikin kulit kering.",facial wash favorit membersihkan dgn baik tidak bikin kulit kering,facial wash favorit membersihkan dengan baik tidak bikin kulit kering,"['facial', 'wash', 'favorit', 'membersihkan', 'dengan', 'baik', 'tidak', 'bikin', 'kulit', 'kering']","['facial', 'wash', 'favorit', 'membersihkan', 'kulit', 'kering']","['facial', 'wash', 'favorit', 'bersih', 'kulit', 'kering']",facial wash favorit bersih kulit kering
"beli banyak 4 pcs murah satuan jadi 40ribuan, tapi sayang ed awal 2025 gak ada di deskripsi",beli banyak pcs murah satuan jadi ribuan tapi sayang ed awal gak ada di deskripsi,beli banyak pcs murah satuan jadi ribuan tapi sayang ed awal enggak ada di deskripsi,"['beli', 'banyak', 'pcs', 'murah', 'satuan', 'jadi', 'ribuan', 'tapi', 'sayang', 'ed', 'awal', 'enggak', 'ada', 'di', 'deskripsi']","['beli', 'pcs', 'murah', 'satuan', 'ribuan', 'sayang', 'ed', 'deskripsi']","['beli', 'pcs', 'murah', 'satu', 'ribu', 'sayang', 'ed', 'deskripsi']",beli pcs murah satu ribu sayang ed deskripsi
"barang diterima dengan baik, kurir cepat, dan terima kasih bonusnya.",barang diterima dengan baik kurir cepat dan terima kasih bonusnya,barang diterima dengan baik kurir cepat dan terima kasih bonusnya,"['barang', 'diterima', 'dengan', 'baik', 'kurir', 'cepat', 'dan', 'terima', 'kasih', 'bonusnya']","['diterima', 'kurir', 'cepat', 'terima', 'kasih', 'bonusnya']","['terima', 'kurir', 'cepat', 'terima', 'kasih', 'bonus']",terima kurir cepat terima kasih bonus
"yeayyy finally, sampai juga. packing aman dan rapih. lumayan dapat potongan harga. terima kasih seller🥰❤️",yeayyy finally sampai juga packing aman dan rapih lumayan dapat potongan harga terima kasih seller,yeayyy finally sampai juga packing aman dan rapi lumayan dapat potongan harga terima kasih seller,"['yeayyy', 'finally', 'sampai', 'juga', 'packing', 'aman', 'dan', 'rapi', 'lumayan', 'dapat', 'potongan', 'harga', 'terima', 'kasih', 'seller']","['yeayyy', 'finally', 'packing', 'aman', 'rapi', 'lumayan', 'potongan', 'harga', 'terima', 'kasih', 'seller']","['yeayyy', 'finally', 'packing', 'aman', 'rapi', 'lumayan', 'potong', 'harga', 'terima', 'kasih', 'seller']",yeayyy finally packing aman rapi lumayan potong harga terima kasih seller
"aplikasinya mudah, ga mbleber dan ujungnya runcing. warnanya jg jetblack. love it!",aplikasinya mudah ga mbleber dan ujungnya runcing warnanya jg jetblack love it,aplikasinya mudah enggak mbleber dan ujungnya runcing warnanya juga jetblack love itu,"['aplikasinya', 'mudah', 'enggak', 'mbleber', 'dan', 'ujungnya', 'runcing', 'warnanya', 'juga', 'jetblack', 'love', 'itu']","['aplikasinya', 'mudah', 'mbleber', 'ujungnya', 'runcing', 'warnanya', 'jetblack', 'love']","['aplikasi', 'mudah', 'mbleber', 'ujung', 'runcing', 'warna', 'jetblack', 'love']",aplikasi mudah mbleber ujung runcing warna jetblack love
sampenya cepet cuma seharii,sampenya cepet cuma seharii,sampai cepat cuma seharii,"['sampai', 'cepat', 'cuma', 'seharii']","['cepat', 'seharii']","['cepat', 'hari']",cepat hari
"under tone kulitku cool, tipe kulitku kombinasi

lipsticknya beneran transferproof, sangat matte dan light, recommended for daily use juga karena lumayan tahan
lama.

sunscreennya berat untuk ukuran sunscreen tp lighter than foundie, finishingnya dewy dan coveragenya average. easy to blend dan kalau udah set gak terlalu transfer.",under tone kulitku cool tipe kulitku kombinasi lipsticknya beneran transferproof sangat matte dan light recommended for daily use juga karena lumayan tahan lama sunscreennya berat untuk ukuran sunscreen tp lighter than foundie finishingnya dewy dan coveragenya average easy to blend dan kalau udah set gak terlalu transfer,under tone kulitku cool tipe kulitku kombinasi lipsticknya benaran transferproof sangat matte dan light recommended for daily use juga karena lumayan tahan lama sunscreennya berat untuk ukuran sunscreen tapi lighter tahan foundie finishingnya dewy dan coveragenya average easy tapi blend dan kalau sudah set enggak terlalu transfer,"['under', 'tone', 'kulitku', 'cool', 'tipe', 'kulitku', 'kombinasi', 'lipsticknya', 'benaran', 'transferproof', 'sangat', 'matte', 'dan', 'light', 'recommended', 'for', 'daily', 'use', 'juga', 'karena', 'lumayan', 'tahan', 'lama', 'sunscreennya', 'berat', 'untuk', 'ukuran', 'sunscreen', 'tapi', 'lighter', 'tahan', 'foundie', 'finishingnya', 'dewy', 'dan', 'coveragenya', 'average', 'easy', 'tapi', 'blend', 'dan', 'kalau', 'sudah', 'set', 'enggak', 'terlalu', 'transfer']","['under', 'tone', 'kulitku', 'cool', 'tipe', 'kulitku', 'kombinasi', 'lipsticknya', 'benaran', 'transferproof', 'matte', 'light', 'recommended', 'daily', 'use', 'lumayan', 'tahan', 'sunscreennya', 'ukuran', 'sunscreen', 'lighter', 'tahan', 'foundie', 'finishingnya', 'dewy', 'coveragenya', 'average', 'easy', 'blend', 'set', 'transfer']","['under', 'tone', 'kulit', 'cool', 'tipe', 'kulit', 'kombinasi', 'lipsticknya', 'benar', 'transferproof', 'matte', 'light', 'recommended', 'daily', 'use', 'lumayan', 'tahan', 'sunscreennya', 'ukur', 'sunscreen', 'lighter', 'tahan', 'foundie', 'finishingnya', 'dewy', 'coveragenya', 'average', 'easy', 'blend', 'set', 'transfer']",under tone kulit cool tipe kulit kombinasi lipsticknya benar transferproof matte light recommended daily use lumayan tahan sunscreennya ukur sunscreen lighter tahan foundie finishingnya dewy coveragenya average easy blend set transfer
paket aman ga ada kerusakan,paket aman ga ada kerusakan,paket aman enggak ada kerusakan,"['paket', 'aman', 'enggak', 'ada', 'kerusakan']","['paket', 'aman', 'kerusakan']","['paket', 'aman', 'rusa']",paket aman rusa
"kulit ku kering v zone dan minyakan di t zone semoga cocok ga bikin makin berminyak, soalnya sama cushion nya aku cocok bgt",kulit ku kering zone dan minyakan di zone semoga cocok ga bikin makin berminyak soalnya sama cushion nya aku cocok bgt,kulit ku kering zone dan minyakan di zone semoga cocok enggak bikin makin berminyak soalnya sama cushion nya aku cocok banget,"['kulit', 'ku', 'kering', 'zone', 'dan', 'minyakan', 'di', 'zone', 'semoga', 'cocok', 'enggak', 'bikin', 'makin', 'berminyak', 'soalnya', 'sama', 'cushion', 'nya', 'aku', 'cocok', 'banget']","['kulit', 'ku', 'kering', 'zone', 'minyakan', 'zone', 'semoga', 'cocok', 'berminyak', 'cushion', 'cocok', 'banget']","['kulit', 'ku', 'kering', 'zone', 'minyak', 'zone', 'moga', 'cocok', 'minyak', 'cushion', 'cocok', 'banget']",kulit ku kering zone minyak zone moga cocok minyak cushion cocok banget
